Solution via 4th Order Runge-Kutta Method.
t_inicial = 0, total steps = 1000, t_final = 50
Stept X Y Z
547 27.35 0.0257419 0.0255053 0.000264442
548 27.4 0.0256238 0.0253883 0.000262022
549 27.45 0.0255063 0.0252719 0.000259624
550 27.5 0.0253894 0.025156 0.000257248
551 27.55 0.025273 0.0250407 0.000254894
552 27.6 0.0251571 0.0249259 0.000252562
553 27.65 0.0250418 0.0248116 0.00025025
554 27.7 0.0249269 0.0246978 0.000247961
555 27.75 0.0248127 0.0245846 0.000245692
556 27.8 0.0246989 0.0244719 0.000243444
557 27.85 0.0245857 0.0243597 0.000241216
558 27.9 0.024473 0.0242481 0.000239009
559 27.95 0.0243608 0.0241369 0.000236823
560 28 0.0242491 0.0240263 0.000234656
561 28.05 0.0241379 0.0239161 0.000232509
562 28.1 0.0240273 0.0238065 0.000230382
563 28.15 0.0239171 0.0236974 0.000228274
564 28.2 0.0238075 0.0235888 0.000226186
565 28.25 0.0236984 0.0234806 0.000224117
566 28.3 0.0235898 0.023373 0.000222067
567 28.35 0.0234816 0.0232659 0.000220036
568 28.4 0.023374 0.0231593 0.000218023
569 28.45 0.0232669 0.0230531 0.000216029
570 28.5 0.0231602 0.0229475 0.000214053
571 28.55 0.0230541 0.0228423 0.000212095
572 28.6 0.0229484 0.0227376 0.000210155
573 28.65 0.0228433 0.0226334 0.000208233
574 28.7 0.0227386 0.0225297 0.000206328
575 28.75 0.0226344 0.0224264 0.000204441
576 28.8 0.0225307 0.0223237 0.000202571
577 28.85 0.0224274 0.0222214 0.000200719
578 28.9 0.0223246 0.0221196 0.000198883
579 28.95 0.0222223 0.0220182 0.000197064
580 29 0.0221205 0.0219173 0.000195262
581 29.05 0.0220191 0.0218169 0.000193476
582 29.1 0.0219182 0.0217169 0.000191707
583 29.15 0.0218178 0.0216174 0.000189954
584 29.2 0.0217178 0.0215184 0.000188217
585 29.25 0.0216183 0.0214198 0.000186496
586 29.3 0.0215193 0.0213216 0.000184791
587 29.35 0.0214207 0.0212239 0.000183101
588 29.4 0.0213225 0.0211267 0.000181427
589 29.45 0.0212248 0.0210299 0.000179768
590 29.5 0.0211276 0.0209336 0.000178124
591 29.55 0.0210308 0.0208377 0.000176496
592 29.6 0.0209345 0.0207422 0.000174882
593 29.65 0.0208385 0.0206472 0.000173283
594 29.7 0.0207431 0.0205526 0.000171699
595 29.75 0.0206481 0.0204584 0.000170129
